meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000984286,[31538],[0.46534952522682344],[0.17278865646115654],[0.15459893273095235],[0.03650398977683267],[11.0],[9.0],[0.0035772169569796303]
6000984322,[225480],[0.6720837883102794],[0.2524116902913019],[0.24026396739761216],[0.19860699401044643],[12.0],[0.0],[0.012335497335793363]
6000984337,[349059],[0.538168346317394],[0.4163120865838418],[0.1915345759291257],[0.10009292211421282],[11.0],[11.0],[0.0008179922986513368]
6000984369,[],[],[],[],[],[],[],[]
6000984386,[301424],[0.6972337727675942],[0.17060446079803804],[0.017323648009461186],[0.10869195055458077],[0.0],[0.0],[0.002232926334813607]
6000984400,[484554],[0.898253850515423],[0.17605002537321834],[0.11976833208579789],[0.027466574837945443],[1.0],[1.0],[0.005275986354482108]
6000984503,[],[],[],[],[],[],[],[]
6000984518,[57119],[0.8120045492709791],[0.14746247524006212],[0.1346853165658094],[0.05077345245093313],[0.0],[2.0],[0.0031495769782339646]
6000984545,[475546],[0.7665273455612832],[0.2610322556327264],[0.10047646219872251],[0.21544045080162408],[3.0],[1.0],[0.0019263448425896794]
6000984564,[438492],[1.2209829922801017],[0.13257429376189334],[0.015683000612487584],[0.08199250647546676],[4.0],[3.0],[0.0017257849294129552]
6000984573,[35310],[0.6684589568249906],[0.21385313141498136],[0.11015973207493941],[0.06082603939237566],[2.0],[3.0],[0.0021911768802398072]
6000984593,[],[],[],[],[],[],[],[]
6000984600,[],[],[],[],[],[],[],[]
6000984628,[35310],[0.8009031055710514],[0.23511942418506696],[0.12603848490861128],[0.04790648000890609],[2.0],[3.0],[0.0011591255200143762]
6000984644,[],[],[],[],[],[],[],[]
6000984657,[151069],[1.0105965875705],[0.261947645701079],[0.06347924287391873],[0.1335199203859354],[7.0],[2.0],[0.0059548241470029194]
6000984671,[],[],[],[],[],[],[],[]
6000984712,[88300],[0.6511554338192336],[0.17686473533866404],[0.07665811484110462],[0.4376121576146185],[0.0],[0.0],[0.004286927699784138]
